id,label,parent,value
"Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione ladano_Huso huso (Linnaeus, 1758)","Huso huso (Linnaeus, 1758)",Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione ladano,3
Chordata_OSTEICHTHYES_CLUPEIFORMES,CLUPEIFORMES,Chordata_OSTEICHTHYES,6
Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae,Clupeidae,Chordata_OSTEICHTHYES_CLUPEIFORMES,6
Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae_Alosa,Alosa,Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae,3
"Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae_Alosa_Alosa alosa (Linnaeus, 1758)","Alosa alosa (Linnaeus, 1758)",Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae_Alosa,3
Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae_Cheppia,Cheppia,Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae,3
"Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae_Cheppia_Alosa  fallax (Lacépède, 1803)","Alosa  fallax (Lacépède, 1803)",Chordata_OSTEICHTHYES_CLUPEIFORMES_Clupeidae_Cheppia,3
Chordata_OSTEICHTHYES_CYPRINIFORMES,CYPRINIFORMES,Chordata_OSTEICHTHYES,36
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae,Cobitidae,Chordata_OSTEICHTHYES_CYPRINIFORMES,7
Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae_Cobite,Cobite,Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae,4
"Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae_Cobite_Cobitis bilineata (Canestrini, 1865) ","Cobitis bilineata (Canestrini, 1865) ",Chordata_OSTEICHTHYES_CYPRINIFORMES_Cobitidae_Cobite,2
